ID_MAN_CO;FUND_NUMBER;FUND_NAME;FUND_CCY;ISIN;SECURITY_NAME;TYPE_INSTR;INSTRUMENT_CCY;INSTRUMENT_PRICE;INSTRUMENT_PRICE_EUR;PRICE_DATE;FX_RATE;TRANSACTION_TYPE;EXECUTION_DATE;TRANSACTION_CCY;QUANTITY;AMOUNT_TRANSACTION_CCY;AMOUNT_FUND_CCY;AMOUNT_TRANSACTION_EUR;FX_RATE_EUR;FX_RATE_DATE;MATURITY_DATE;MIC_CODE;TRANSACTION_PRICE;UNREALIZED_PNL;CANCEL_ANULATION;FLAG_FEEDER;Reporting Period
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;JP3921290007;MERCARI;share;JPY;5200;40.04;21/01/2021;103.570055;Purchase on stock market ~;21/01/2021;JPY;15999.99984;83199999.16;803321;640639.993532;.0077;31/03/2021;;;5200;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;US9892071054;ZEBRA TECHNOLOGIES 'A';share;USD;492.849976;419.339431;19/02/2021;1;Purchase on stock market ~;19/02/2021;USD;1700;837844.96;837844.96;712877.032836;.850846;31/03/2021;;;492.849976;;20;N;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;31/03/2021;0;Purchase spot contract ~;31/03/2021;;0;657.91;657.91;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;30/03/2021;0;Purchase spot contract ~;30/03/2021;;0;619000;619000;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Repayment forward contract ~ Bought CHF 505,770.25 Sold USD 545,000.00;;CHF;.928019;.838976;17/03/2021;0;Purchase forward contract ~;17/03/2021;USD;0;505770.25;505770.25;430332.594132;.850846;31/03/2021;;;.928019;;40;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;29/03/2021;0;Purchase spot contract ~;29/03/2021;;0;29927520.55;29927520.55;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;Repayment forward contract ~ Bought USD 469,608.56 Sold EUR 390,000.00;;USD;1.204125;1.024525;02/03/2021;0;Purchase forward contract ~;02/03/2021;EUR;0;469608.56;469608.56;469608.56;1;31/03/2021;;;1.204125;;40;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;23/03/2021;0;Purchase spot contract ~;23/03/2021;;0;95833.94;95833.94;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;17/03/2021;0;Purchase spot contract ~;17/03/2021;;0;545000;545000;;;31/03/2021;;;;;20;Y;31/03/2021
343;274380;DECALIA SICAV-CIRCULAR ECONOMY;USD;;;;;;;16/03/2021;0;Purchase spot contract ~;16/03/2021;;0;63739.92;63739.92;;;31/03/2021;;;;;20;Y;31/03/2021
